Sigla;Nome;Bacia ;Tipo;Operador;Latitude;Longitude;Lâmina D'água (m);Capacidade de Processamento Petróleo (bbl/dia);Capacidade de Processamento Gás (Mil m³/dia);;
CAPX;FPSO CAPIXABA;Campos ;FPSO;Petrobras;-21:14:16,783;-39:57:46,397;1350;110000;3200;;
FCDA;FPSO CIDADE DE ANCHIETA;Campos ;FPSO;Petrobras;-21:20:16,965;-40:03:27,174;1221;100000;3500;;
FPCAR;FPSO CIDADE DE ANGRA DOS REIS;Santos;FPSO;Petrobras;-25:32:36,595;-42:50:30,549;2140;100000;5000;;
FPCGZ;FPSO Cidade de Campos dos Goytacazes;Campos ;FPSO;Petrobras;-22:57:12,165;-40:43:31,966;765;150000;3500;;
FPCCG;FPSO CIDADE DE CARAGUATATUBA;Santos;FPSO;Total E&P do Brasil;-25:31:07,410;-43:27:59,570;2150;100000;5000;;
FPCIB;FPSO CIDADE DE ILHA BELA;Santos;FPSO;Petrobras;-25:40:22,095;-43:12:22,291;2140;150000;6000;;
FPCIG;FPSO CIDADE DE ITAGUAÍ;Santos;FPSO;Petrobras;-25:08:29,649;-42:56:40,909;2240;150955;8000;;
FPCI;FPSO CIDADE DE ITAJAÍ;Santos;FPSO;Petrobras;-26:27:59,898;-46:31:43,278;275;80000;2000;;
FPCMB;FPSO CIDADE DE MANGARATIBA;Santos;FPSO;Petrobras;-25:12:14,682;-42:52:42,826;2220;150000;8000;;
FPCMC;FPSO CIDADE DE MARICÁ;Santos;FPSO;Petrobras;-25:26:55,855;-42:45:11,059;2120;150000;6000;;
FPCP;FPSO CIDADE DE PARATY;Santos;FPSO;Petrobras;-25:22:02,334;-42:45:36,693;2140;120000;5000;;
FPCSP;FPSO CIDADE DE SÃO PAULO;Santos;FPSO;Petrobras;-25:47:59,437;-43:15:47,777;2140;120000;5000;;
FPCSQ;FPSO CIDADE DE SAQUAREMA;Santos;FPSO;Petrobras;-25:29:28,562;-42:46:52,546;2120;150000;6000;;
CVIX;FPSO CIDADE DE VITÓRIA;Espirito Santo;FPSO;Petrobras;-20:02:34,750;-39:31:32,387;1386;100000;3500;;
FPSO ESP SANTO;FPSO ESPIRITO SANTO;Campos ;FPSO;Shell Brasil;-21:12:30,854;-39:44:33,774;1775;100000;1400;;
FPSO FLUMINENSE;FPSO Fluminense;Campos ;FPSO;Shell Brasil;-22:38:57,206;-40:25:43,286;607;70000;2124;;
FPSO FRADE;FPSO FRADE;Campos ;FPSO;Chevron Frade;-21:53:03,196;-39:51:30,700;1065;100000;3000;;
FPSOPL;FPSO PIONEIRO DE LIBRA;santos ;FPSO;Petrobras;-24:39:29,250;-42:13:55,500;2040;50318;4000;;
OSX3;FPSO_OSX3;Campos ;FPSO;Dommo Energia;-23:08:08,977;-41:04:24,717;105;100000;1500;;
PEREGRINO A;Peregrino A;Campos ;FIXA;Equinor Brasil;-23:20:03,631;-41:17:54,162;106;0;0;;
PEREGRINO B;Peregrino B;Campos ;FIXA;Equinor Brasil;-23:17:45,388;-41:12:28,023;122;0;0;;
PPER;PEROA;Espirito Santo;FIXA;Petrobras;-19:33:51,946;-39:15:14,198;70;0;8000;;
P-08;PETROBRAS 08;Campos ;SEMI SUBMERSÍVEL;Petrobras;-22:40:18,417;-40:32:53,241;423;80000;1800;;
P-19;PETROBRAS 19;Campos ;SEMI SUBMERSÍVEL;Petrobras;-22:23:29,307;-40:03:23,333;770;130000;4080;;
P-25;PETROBRAS 25;Campos ;SEMI SUBMERSÍVEL;Petrobras;-22:06:34,056;-39:55:00,960;575;120000;3250;;
P-31;PETROBRAS 31;Campos ;FPSO;Petrobras;-22:07:48,440;-39:57:59,913;325;100000;2900;;
P-40;PETROBRAS 40;Campos ;SEMI SUBMERSÍVEL;Petrobras;-22:32:46,302;-40:04:09,042;1080;156000;6000;;
P-43;PETROBRAS 43;Campos ;FPSO;Petrobras;-22:33:03,389;-40:15:36,585;800;150000;6000;;
P-48;PETROBRAS 48;Campos ;FPSO;Petrobras;-22:39:49,947;-40:14:24,794;1400;150000;6000;;
P-50;PETROBRAS 50;Campos ;FPSO;Petrobras;-22:05:10,983;-39:49:40,821;1239;180000;6000;;
P-51;PETROBRAS 51;Campos ;SEMI SUBMERSÍVEL;Petrobras;-22:37:59,525;-40:05:43,551;1255;180000;6000;;
P-52;PETROBRAS 52;Campos ;SEMI SUBMERSÍVEL;Petrobras;-21:54:38,798;-39:44:18,396;1800;180000;7500;;
P-53;PETROBRAS 53;Campos ;FPU;Petrobras;-22:25:26,392;-39:57:27,734;1080;180000;6000;;
P-54;PETROBRAS 54;Campos ;FPSO;Petrobras;-21:58:02,061;-39:49:37,351;1400;180000;6000;;
P-55;PETROBRAS 55;Campos ;SEMI SUBMERSÍVEL;Petrobras;-21:59:37,390;-39:44:23,777;1795;180000;6000;;
P-56;PETROBRAS 56;Campos ;SEMI SUBMERSÍVEL;Petrobras;-22:37:21,810;-39:59:28,412;1670;141000;6000;;
P-57;PETROBRAS 57;Campos ;FPSO;Petrobras;-21:14:36,002;-40:02:45,000;1300;180000;6000;;
P-58;PETROBRAS 58;Campos ;FPSO;Petrobras;-21:12:56,087;-39:59:51,890;1399;180000;6000;;
P-61;PETROBRAS 61;Campos ;TLWP;Petrobras;-23:30:57,747;-41:03:40,666;1185;0;0;;
P-62;PETROBRAS 62;Campos ;FPSO;Petrobras;-21:56:24,798;-39:47:32,398;1600;180000;6000;;
P-63;PETROBRAS 63;Campos ;FPSO;Petrobras;-23:30:50,537;-41:03:52,856;1165;140000;1000;;
P-66;Petrobras 66 (P-66);Santos ;FPSO;Petrobras;-25:36:10,147;-42:49:14,367;2150;150000;6000;;
P-67;Petrobras 67 (P-67);Santos ;FPSO;Petrobras;-25:19:47,537;-42:41:33,567;2130;150000;6000;;
P-68;Petrobras 68;Santos ;FPSO;Petrobras;-25:01:22,630;-42:40:04,041;2280;150000;6000;;
P-69;Petrobras 69;Santos ;FPSO;Petrobras;-25:39:28,544;-42:51:33,995;2170;150000;6000;;
P-70;Petrobras 70;Santos;FPSO;Petrobras;-24:57:07,454;-42:28:06,168;2288;150955;6000000;;
P-74;Petrobras 74 (P-74);santos ;FPSO;Petrobras;-24:38:53,036;-42:31:04,132;1950;150000;7000;;
P-75;Petrobras 75 (P-75);Santos ;FPSO;Petrobras;-24:47:20,453;-42:30:35,050;2015;150000;7000;;
P-76;Petrobras 76;Santos ;FPSO;Petrobras;-24:41:20,330;-42:30:20,990;2025;150000;7000;;
P-77;Petrobras 77;Santos;FPSO;Petrobras;-24:38:11,386;-42:24:13,163;1980;150000;7000;;
PJ-1;Petrojarl 1;Santos ;FPSO;Queiroz Galvão;-24:07:32,370;-41:53:11,090;1537;35000;480;;
PARB1;PLATAFORMA DE ARABAIANA 1;Potiguar ;FIXA;Petrobras;-04:41:27,974;-36:43:41,403;30;0;0;;
PCE-1;PLATAFORMA DE ENCHOVA;Campos ;FIXA;Petrobras;-22:42:30,143;-40:41:35,566;116;54000;2680;;
PMNT;PLATAFORMA DE MANATI 1;Camamu;FIXA;Petrobras;-13:29:23,777;-38:48:44,373;36;0;8000;;
PMLZ;PLATAFORMA DE MERLUZA;Santos ;FIXA;Petrobras;-25:15:57,724;-45:15:15,512;131;5994;2300;;
PMXL-1;Plataforma de Mexilhão;santos;FIXA;Petrobras;-24:21:06,629;-44:23:03,603;172;20000;15000;;
PPM-1;PLATAFORMA DE PAMPO-1;Campos ;FIXA;Petrobras;-22:47:52,816;-40:45:45,189;115;74000;2300;;
PPG-1A;PLATAFORMA DE PARGO-1A;Campos ;FIXA;Perenco Brasil;-22:15:15,578;-40:19:54,009;101;150790;700;;
PPE1B;PLATAFORMA DE PESCADA 1B;Potiguar ;FIXA;Petrobras;-04:42:13,223;-36:48:36,543;20;3140;800;;
PPE02;PLATAFORMA DE PESCADA 2;Potiguar ;FIXA;Petrobras;-04:42:53,946;-36:50:17,333;25;630;200;;
PVM-3;PLATAFORMA DE VERMELHO-III;Campos ;FIXA;Perenco Brasil;-22:11:18,527;-40:18:17,781;82;12580;60;;
POLVO A;Polvo A;Campos ;FIXA;Petro Rio O&G;-23:05:01,730;-40:59:43,545;105;0;0;;
FPCST;FPSO CIDADE DE SANTOS;Santos;FPSO;Petrobras;-24:18:07,259;-42:42:52,384;1300;35000;10000;;
P-20;PETROBRAS 20;Campos ;SEMI SUBMERSÍVEL;Petrobras;-22:21:28,298;-40:05:26,945;610;75480;1400;;
P-35;PETROBRAS 35;Campos ;FPSO;Petrobras;-22:26:08,914;-40:04:11,622;850;100000;3000;;
